지점,키워드,구분,예상검색량등급,실측검색량(키워드도구),월100이상(O/X),비고
강남신사점,강남 미용실,지역,상,,,광역 핵심
강남신사점,강남 미용실 추천,지역,상,,,
강남신사점,신사 미용실,지역,중,,,
강남신사점,신사동 미용실,지역,중,,,
강남신사점,가로수길 미용실,지역,중,,,
강남신사점,신사역 미용실,지역,중,,,
강남신사점,레이어드컷,메인,상,,,지성 원장 전문 (마곡 겸임)
강남신사점,볼륨펌,메인,상,,,인기 1위 시술
강남신사점,셋팅펌,메인,상,,,
강남신사점,히피펌,메인,중,,,
강남신사점,디자인 염색,메인,중,,,
강남신사점,톤다운 염색,메인,중,,,
강남신사점,헤드스파,메인,상,,,프리미엄 자기관리
강남신사점,얼굴형별 커트,롱테일,하,,,
마곡나루점,마곡 미용실,지역,중,,,
마곡나루점,마곡 미용실 추천,지역,중,,,
마곡나루점,마곡나루역 미용실,지역,중,,,
마곡나루점,발산역 미용실,지역,중,,,
마곡나루점,강서구 미용실,지역,중,,,
마곡나루점,셋팅펌,메인,상,,,직장인 단정 스타일
마곡나루점,다운펌,메인,중,,,
마곡나루점,새치염색,메인,상,,,전문직 타겟
마곡나루점,남자 다운펌,메인,중,,,
마곡나루점,레이어드컷,메인,상,,,
마곡나루점,복구매직,메인,상,,,
마곡나루점,두피 스케일링,메인,중,,,
강남신사점,남자 레이어드펌,메인,중,,,
사가정점,사가정 미용실,지역,중,,,네이버 노출 확인됨
사가정점,사가정역 미용실,지역,중,,,네이버 노출 확인됨
사가정점,면목동 미용실,지역,중,,,
사가정점,중랑구 미용실,지역,중,,,
사가정점,동네 미용실 추천,지역,중,,,생활밀착
사가정점,새치염색,메인,상,,,
사가정점,새치염색 자연스럽게,롱테일,중,,,
사가정점,남자 커트,메인,상,,,
사가정점,아이 커트,메인,중,,,애기엄마 타겟
사가정점,뿌리염색,메인,중,,,
사가정점,볼륨매직,메인,상,,,
사가정점,다운펌,메인,중,,,
성수점,성수 미용실,지역,중,,,
성수점,성수동 미용실,지역,중,,,성수동1가미용실 노출 확인
성수점,성수역 미용실,지역,중,,,
성수점,성수 미용실 추천,지역,중,,,
성수점,탈색,메인,상,,,성수 컬러 특화
성수점,디자인 염색,메인,중,,,
성수점,브릿지 염색,메인,중,,,
성수점,글래스 헤어,메인,중,,,
성수점,옴브레 염색,롱테일,하,,,
성수점,korean hair salon,외국인,중,,,영문-외국인 타겟
성수점,hair salon seoul,외국인,중,,,영문
성수점,hair color seoul,외국인,하,,,영문
서면전포점,서면 미용실,지역,상,,,부산 핵심
서면전포점,서면 미용실 추천,지역,상,,,
서면전포점,부산 미용실,지역,상,,,
서면전포점,전포동 미용실,지역,중,,,
서면전포점,전포 미용실,지역,중,,,
서면전포점,복구매직,메인,상,,,
서면전포점,결마지,메인,중,,,신조어-검증 필수
서면전포점,볼륨매직,메인,상,,,
서면전포점,셋팅펌,메인,상,,,
서면전포점,새치염색,메인,상,,,30~60 여성 타겟
서면전포점,손상모 복구,메인,중,,,
서면전포점,두피 스케일링,메인,중,,,자기관리
부천신중동점,부천 미용실,지역,상,,,
부천신중동점,부천 미용실 추천,지역,상,,,
부천신중동점,신중동 미용실,지역,중,,,
부천신중동점,중동 미용실,지역,중,,,
부천신중동점,신중동역 미용실,지역,중,,,
부천신중동점,복구매직,메인,상,,,유입 핵심
부천신중동점,결마지,메인,중,,,신조어-검증 필수
부천신중동점,C컬펌,메인,중,,,
부천신중동점,레이어드펌,메인,중,,,
부천신중동점,빌드펌,메인,중,,,
부천신중동점,곱슬머리 매직,메인,중,,,
부천신중동점,손상모 복구,메인,중,,,
부천신중동점,윤기나는 머리,롱테일,하,,,리뉴얼 오픈
